"scenario","rate_mt","L_mid","L_top","f1","f2","f3"
3,0.94,4,8,544565435.51095,37494891.5607201,4058685000
1,0.95,4,8,186235864.52681,14133877.1320471,1367287500
3,0.95,4,8,547069629.763609,38321950.3842494,4101862500
1,0.96,4,8,187360500.273809,14413288.896753,1381680000
3,0.96,4,8,549636211.283908,39141241.2183007,4145040000
1,0.97,4,8,188466970.862045,14692700.6614589,1396072500
3,0.97,4,8,552138942.376345,39968300.0418301,4188217500
1,0.98,4,8,189573441.45028,14972112.4261648,1410465000
3,0.98,4,8,554660059.75251,40795358.8653595,4231395000
1,0.99,4,8,190668238.628488,15251524.1908707,1424857500
3,0.99,4,8,557193993.191614,41620017.5083761,4274572500
1,1,4,8,201882990.613181,13128757.1812779,1439250000
3,1,4,8,560101950.772727,42419953.245722,4317750000
1,0.8,5,8,181523385.168391,7822791.59057375,1151400000
3,0.8,5,8,577726304.344557,14909196.2395222,3454200000
1,0.81,5,8,183612435.248238,7932805.29954753,1165792500
3,0.81,5,8,574118225.018598,16011189.5412288,3497377500
1,0.82,5,8,185640217.106733,8124411.00742083,1180185000
3,0.82,5,8,580040403.881371,16393424.8353464,3540555000
1,0.83,5,8,188035947.047633,8156334.71131223,1194577500
3,0.83,5,8,586040388.542242,16775660.1294641,3583732500
1,0.84,5,8,190247291.585448,8268099.41719459,1208970000
3,0.84,5,8,591989092.025333,17157895.4235817,3626910000
1,0.85,5,8,192456776.485978,8379864.12307694,1223362500
3,0.85,5,8,597603637.166761,17584698.4004022,3670087500
1,0.86,5,8,194554079.042689,8504125.36632762,1237755000
3,0.86,5,8,603648059.465245,17956874.8709904,3713265000
1,0.87,5,8,196676011.815798,8638243.01338646,1252147500
3,0.87,5,8,608558869.384478,18436830.5486254,3756442500
1,0.88,5,8,198769895.866001,8772360.66044526,1266540000
3,0.88,5,8,614499190.334247,18784039.6895244,3799620000
1,0.89,5,8,200853509.311379,8906478.30750409,1280932500
3,0.89,5,8,620402887.609894,19161804.3954067,3842797500
