"seed","method","evaluation","phase","scenario","rate_mt","L_mid","L_top","f1_retained_integral_m3yr","f2_unretained_final_m3","f3_total_cost_eur"
1,"TS",95,"sequential",1,0.951763404812664,5,3,239287940.82346,10675.9719384611,1369825480.37663
1,"TS",96,"sequential",1,0.992300565121695,3,3,249482001.199847,10675.9719384462,1428168588.3514
1,"TS",97,"sequential",1,0.91312097189948,5,1,229519308.579337,10675.9719384797,1314209358.80633
1,"TS",98,"sequential",1,0.915356681775302,2,4,157346895.000463,13175403.2356036,1317427104.2451
1,"TS",99,"sequential",1,0.901118731312454,5,5,226483419.588162,434882.750255454,1296935134.04145
1,"TS",100,"sequential",1,0.819690231839195,5,2,185795246.575519,8032052.64424204,1179739166.17456
1,"SCAL",1,"initial",3,0.825111019192263,4,3,561262174.77002,7072177.12867077,3562623103.11739
1,"SCAL",2,"initial",1,0.853444133745506,4,3,196885328.79804,3019793.00308071,1228319469.49322
1,"SCAL",3,"initial",1,0.877222818508744,9,8,145657084.538724,13726744.2920856,1262542941.53871
1,"SCAL",4,"initial",3,0.802678066631779,7,6,290896872.820572,56149380.8394557,3465763222.19936
1,"SCAL",5,"initial",1,0.876477591414005,6,7,145956870.72542,12787296.7212846,1261470373.44261
1,"SCAL",6,"initial",1,0.973938169144094,9,6,135580789.247741,21467059.3851919,1401740509.94064
1,"SCAL",7,"initial",1,0.868069799337536,8,8,128310149.639014,18314312.1970976,1249369458.69655
1,"SCAL",8,"initial",1,0.896416023094207,9,7,149527037.246456,13476722.6370086,1290166761.23834
1,"SCAL",9,"initial",3,0.919913165085018,7,1,406399546.862913,35102270.4271606,3971955068.54583
1,"SCAL",10,"initial",1,0.898708261409774,8,4,154830339.818399,12985541.7940998,1293465865.23402
1,"SCAL",11,"initial",3,0.837243520282209,6,8,333138581.560532,49625835.2251541,3615008209.69851
1,"SCAL",12,"initial",1,0.965474663721398,7,9,185211186.193861,15115337.5279188,1389559409.76102
1,"SCAL",13,"initial",1,0.933693347638473,3,9,207209908.837052,10042114.0063296,1343818150.58867
1,"SCAL",14,"initial",3,0.958847972145304,6,7,325103869.312314,69142722.2915907,4140065831.73038
1,"SCAL",15,"initial",3,0.821588725177571,8,4,420959544.919409,27750973.5004692,3547414718.13546
1,"SCAL",16,"initial",1,0.944742189208046,2,7,160065373.954389,14094446.0472455,1359720195.81768
