"seed","method","evaluation","hypervolume","IGD_plus","pareto_size"
1,"EHVI",97,0.545058108159772,0.0868599669329254,13
1,"EHVI",98,0.545058108159772,0.0868599669329254,13
1,"EHVI",99,0.545168777169928,0.0868599669329254,14
1,"EHVI",100,0.545168777169928,0.0868599669329254,14
1,"EPI",1,0.242893438163528,0.494686665636121,1
1,"EPI",2,0.413180620966765,0.199335844462427,2
1,"EPI",3,0.413180620966765,0.199335844462427,2
1,"EPI",4,0.414625999396247,0.199335844462427,3
1,"EPI",5,0.414625999396247,0.199335844462427,3
1,"EPI",6,0.414625999396247,0.199335844462427,3
1,"EPI",7,0.414625999396247,0.199335844462427,3
1,"EPI",8,0.414625999396247,0.199335844462427,3
1,"EPI",9,0.414625999396247,0.199335844462427,3
1,"EPI",10,0.414625999396247,0.199335844462427,3
1,"EPI",11,0.414625999396247,0.199335844462427,3
1,"EPI",12,0.414625999396247,0.199335844462427,3
1,"EPI",13,0.424071080972681,0.199335844462427,4
1,"EPI",14,0.424071080972681,0.199335844462427,4
1,"EPI",15,0.424906635619912,0.199335844462427,5
1,"EPI",16,0.424906635619912,0.199335844462427,5
1,"EPI",17,0.424906635619912,0.199335844462427,5
1,"EPI",18,0.424906635619912,0.199335844462427,5
1,"EPI",19,0.424906635619912,0.199335844462427,5
1,"EPI",20,0.424906635619912,0.199335844462427,5
1,"EPI",21,0.424906635619912,0.199335844462427,5
1,"EPI",22,0.428403602574125,0.199335844462427,6
1,"EPI",23,0.428403602574125,0.199335844462427,6
1,"EPI",24,0.428403602574125,0.199335844462427,6
1,"EPI",25,0.428403602574125,0.199335844462427,6
1,"EPI",26,0.42883487335952,0.199335844462427,7
1,"EPI",27,0.428858447300377,0.199335844462427,8
1,"EPI",28,0.428858447300377,0.199335844462427,8
1,"EPI",29,0.43222669814951,0.199335844462427,9
1,"EPI",30,0.444252255740083,0.195889570637791,10
1,"EPI",31,0.452878462591913,0.191072450407818,11
1,"EPI",32,0.452878462591913,0.191072450407818,11
1,"EPI",33,0.452878462591913,0.191072450407818,11
1,"EPI",34,0.453174550049978,0.191072450407818,11
1,"EPI",35,0.453174550049978,0.191072450407818,11
1,"EPI",36,0.515381211345218,0.116266451791769,11
1,"EPI",37,0.515505470754725,0.116266451791769,12
1,"EPI",38,0.515505470754725,0.116266451791769,12
1,"EPI",39,0.515505470754725,0.116266451791769,12
1,"EPI",40,0.515505470754725,0.116266451791769,12
1,"EPI",41,0.515505470754725,0.116266451791769,12
1,"EPI",42,0.538349284488143,0.096686385024719,11
1,"EPI",43,0.538349284488143,0.096686385024719,11
1,"EPI",44,0.538349284488143,0.096686385024719,11
1,"EPI",45,0.538349284488143,0.096686385024719,11
1,"EPI",46,0.538350028287245,0.096686385024719,12
1,"EPI",47,0.550006207082589,0.0959023465751044,11
1,"EPI",48,0.550315899485185,0.0954753974760571,12
1,"EPI",49,0.550315899485185,0.0954753974760571,12
1,"EPI",50,0.550315899485185,0.0954753974760571,12
1,"EPI",51,0.550315899485185,0.0954753974760571,12
1,"EPI",52,0.550315899485185,0.0954753974760571,12
1,"EPI",53,0.550315899485185,0.0954753974760571,12
1,"EPI",54,0.55087854804562,0.0954753974760571,13
1,"EPI",55,0.55087854804562,0.0954753974760571,13
1,"EPI",56,0.55087854804562,0.0954753974760571,13
1,"EPI",57,0.55087854804562,0.0954753974760571,13
1,"EPI",58,0.55087854804562,0.0954753974760571,13
1,"EPI",59,0.55087854804562,0.0954753974760571,13
1,"EPI",60,0.55087854804562,0.0954753974760571,13
1,"EPI",61,0.55087854804562,0.0954753974760571,13
1,"EPI",62,0.620571549033741,0.0747623348359074,13
1,"EPI",63,0.620571549033741,0.0747623348359074,13
1,"EPI",64,0.620571549033741,0.0747623348359074,13
1,"EPI",65,0.620571549033741,0.0747623348359074,13
1,"EPI",66,0.620571549033741,0.0747623348359074,13
1,"EPI",67,0.620727488531785,0.0747623348359074,12
1,"EPI",68,0.620727488531785,0.0747623348359074,12
1,"EPI",69,0.620727488531785,0.0747623348359074,12
1,"EPI",70,0.62171399909553,0.0744981073117464,11
1,"EPI",71,0.62171399909553,0.0744981073117464,11
1,"EPI",72,0.62171399909553,0.0744981073117464,11
1,"EPI",73,0.62171399909553,0.0744981073117464,11
1,"EPI",74,0.62171399909553,0.0744981073117464,11
1,"EPI",75,0.62171399909553,0.0744981073117464,11
1,"EPI",76,0.62171399909553,0.0744981073117464,11
1,"EPI",77,0.62171399909553,0.0744981073117464,11
1,"EPI",78,0.62171399909553,0.0744981073117464,11
1,"EPI",79,0.62171399909553,0.0744981073117464,11
1,"EPI",80,0.62171399909553,0.0744981073117464,11
1,"EPI",81,0.62171399909553,0.0744981073117464,11
1,"EPI",82,0.62171399909553,0.0744981073117464,11
1,"EPI",83,0.62171399909553,0.0744981073117464,11
1,"EPI",84,0.62171399909553,0.0744981073117464,11
1,"EPI",85,0.625678479106685,0.0699250055647388,12
1,"EPI",86,0.625678479106685,0.0699250055647388,12
1,"EPI",87,0.625678479106685,0.0699250055647388,12
1,"EPI",88,0.625678479106685,0.0699250055647388,12
1,"EPI",89,0.625678479106685,0.0699250055647388,12
1,"EPI",90,0.625678479106685,0.0699250055647388,12
1,"EPI",91,0.625678479106685,0.0699250055647388,12
1,"EPI",92,0.625678479106685,0.0699250055647388,12
1,"EPI",93,0.627046378907185,0.068397721237104,13
1,"EPI",94,0.627046378907185,0.068397721237104,13
1,"EPI",95,0.627046378907185,0.068397721237104,13
1,"EPI",96,0.64165417355852,0.0503808498141864,14
1,"EPI",97,0.64165417355852,0.0503808498141864,14
1,"EPI",98,0.641658881716262,0.0503808498141864,15
1,"EPI",99,0.641658881716262,0.0503808498141864,15
1,"EPI",100,0.641658881716262,0.0503808498141864,15
2,"TS",1,0.106323686499366,0.600800808579405,1
2,"TS",2,0.298598862592573,0.304794905413384,2
2,"TS",3,0.353791915921611,0.274304790880991,3
2,"TS",4,0.355291843509694,0.274304790880991,4
2,"TS",5,0.441201924515825,0.192623686023969,4
2,"TS",6,0.441201924515825,0.192623686023969,4
2,"TS",7,0.441201924515825,0.192623686023969,4
2,"TS",8,0.441201924515825,0.192623686023969,4
