"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EHVI",45,"hypervolume",10,0.554772605880277,0.0486821966668308,0.0153946622967442,0.519947460296837,0.589597751463716
"EHVI",46,"hypervolume",10,0.555361704284895,0.0481520719423627,0.0152270221394154,0.520915787084129,0.58980762148566
"EHVI",47,"hypervolume",10,0.557730150658731,0.0459595340422472,0.0145336807773546,0.524852680586416,0.590607620731046
"EHVI",48,"hypervolume",10,0.560665942968872,0.0424802568289549,0.0134334367168419,0.530277397878872,0.591054488058873
"EHVI",49,"hypervolume",10,0.562163222308794,0.0419594960072628,0.0132687576855691,0.53214720706895,0.592179237548638
"EHVI",50,"hypervolume",10,0.562296668317236,0.0421537664122792,0.0133301913817507,0.532141680401538,0.592451656232934
"EHVI",51,"hypervolume",10,0.56241256462593,0.0422006850077063,0.0133450283443672,0.532224013168974,0.592601116082885
"EHVI",52,"hypervolume",10,0.566319673009962,0.0387559976912084,0.0122557225696446,0.538595302413773,0.594044043606151
"EHVI",53,"hypervolume",10,0.566573426657661,0.0389285728707947,0.0123102956331551,0.538725603214956,0.594421250100366
"EHVI",54,"hypervolume",10,0.567610164821765,0.0413030907096519,0.013061184104704,0.538063713644682,0.597156615998847
"EHVI",55,"hypervolume",10,0.568449698161543,0.0406486025562408,0.0128542167780664,0.53937143960488,0.597527956718207
"EHVI",56,"hypervolume",10,0.57044211638302,0.0407155858445048,0.0128753987536745,0.541315940868512,0.599568291897527
"EHVI",57,"hypervolume",10,0.573783107253522,0.0385699058813093,0.0121968751723262,0.546191858718689,0.601374355788355
"EHVI",58,"hypervolume",10,0.574111829635236,0.0384462963627268,0.0121577864104064,0.546609006023164,0.601614653247307
"EHVI",59,"hypervolume",10,0.575490632088855,0.0378121383559946,0.0119572480406358,0.548441457786376,0.602539806391334
"EHVI",60,"hypervolume",10,0.582715415270109,0.0342459716022916,0.0108295270948687,0.558217322982735,0.607213507557484
"EHVI",61,"hypervolume",10,0.58900578538061,0.0341507340535908,0.0107994103376022,0.564575821931406,0.613435748829813
"EHVI",62,"hypervolume",10,0.589042706474377,0.0341748277340612,0.0108070294283524,0.564595507444459,0.613489905504296
"EHVI",63,"hypervolume",10,0.590772597343867,0.032809141048929,0.0103751613788342,0.56730235171555,0.614242842972184
"EHVI",64,"hypervolume",10,0.590977732792347,0.0328705024853501,0.0103945655687932,0.567463591836726,0.614491873747968
"EHVI",65,"hypervolume",10,0.591167010098463,0.0331789803245944,0.0104921148267631,0.5674321973902,0.614901822806726
"EHVI",66,"hypervolume",10,0.591268060322039,0.0331040104780489,0.0104684072796714,0.567586877811241,0.614949242832836
"EHVI",67,"hypervolume",10,0.592672066672409,0.0325928584069749,0.0103067668021408,0.569356540325656,0.615987593019163
"EHVI",68,"hypervolume",10,0.592819155652495,0.0325737368212036,0.0103007200257896,0.569517308064176,0.616121003240814
"EHVI",69,"hypervolume",10,0.593817510308847,0.0329965052309463,0.0104344111355451,0.570213232418992,0.617421788198701
"EHVI",70,"hypervolume",10,0.593870935094464,0.0330034304173608,0.0104366010717742,0.570261703224683,0.617480166964245
"EHVI",71,"hypervolume",10,0.59388553775982,0.0329938940672752,0.0104335854130906,0.57028312778393,0.61748794773571
"EHVI",72,"hypervolume",10,0.594421238661329,0.0331753778610594,0.0104909756277673,0.570689003000234,0.618153474322424
"EHVI",73,"hypervolume",10,0.594553246688749,0.033200892724379,0.010499044135995,0.570802758793974,0.618303734583525
"EHVI",74,"hypervolume",10,0.595533201278913,0.0325667414793329,0.0102985079044573,0.572236357856711,0.618830044701115
"EHVI",75,"hypervolume",10,0.595893620184069,0.0333217410304306,0.0105372597258447,0.572056682618984,0.619730557749153
"EHVI",76,"hypervolume",10,0.59597833587047,0.0332801445860186,0.010524105775154,0.572171154609159,0.61978551713178
"EHVI",77,"hypervolume",10,0.596010870495765,0.033252884536034,0.0105154853904459,0.572223189899468,0.619798551092062
"EHVI",78,"hypervolume",10,0.59602261183802,0.0332753203446475,0.0105225802160825,0.572218881631091,0.61982634204495
"EHVI",79,"hypervolume",10,0.596030392672543,0.0332884395412388,0.0105267288703125,0.572217277557731,0.619843507787356
"EHVI",80,"hypervolume",10,0.596175035688265,0.0333454397413414,0.0105447539162535,0.572321145086668,0.620028926289863
"EHVI",81,"hypervolume",10,0.596261722283088,0.0332735792716163,0.0105220296404474,0.572459237564775,0.620064207001401
"EHVI",82,"hypervolume",10,0.597393675874905,0.0338614259635244,0.0107079230865899,0.573170670965884,0.621616680783927
"EHVI",83,"hypervolume",10,0.598718638953402,0.0351567825185367,0.0111175507961767,0.573568991787059,0.623868286119746
