"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EHVI",69,"IGD_plus",10,0.0702288765060828,0.0250288703382132,0.00791482375297824,0.0523243012609977,0.0881334517511679
"EHVI",70,"IGD_plus",10,0.0701151267299085,0.0250306386931258,0.00791538295590181,0.0522092864799244,0.0880209669798926
"EHVI",71,"IGD_plus",10,0.0701151267299085,0.0250306386931258,0.00791538295590181,0.0522092864799244,0.0880209669798926
"EHVI",72,"IGD_plus",10,0.0692235764654786,0.0251379778541756,0.00794932657900669,0.0512409504053565,0.0872062025256007
"EHVI",73,"IGD_plus",10,0.0692235764654786,0.0251379778541756,0.00794932657900669,0.0512409504053565,0.0872062025256007
"EHVI",74,"IGD_plus",10,0.0683823880756768,0.0249579285292381,0.00789238998320886,0.0505285615435641,0.0862362146077895
"EHVI",75,"IGD_plus",10,0.0683615789362034,0.0249982007828262,0.0079051251879935,0.0504789433693674,0.0862442145030393
"EHVI",76,"IGD_plus",10,0.0683610783753706,0.0249981772351199,0.00790511774155493,0.0504784596535489,0.0862436970971922
"EHVI",77,"IGD_plus",10,0.0683593339869896,0.0249972125117254,0.00790481266923107,0.0504774053867105,0.0862412625872686
"EHVI",78,"IGD_plus",10,0.0683593339869896,0.0249972125117254,0.00790481266923107,0.0504774053867105,0.0862412625872686
"EHVI",79,"IGD_plus",10,0.0683588286981447,0.0249980830907521,0.00790508797049183,0.0504762773231466,0.0862413800731427
"EHVI",80,"IGD_plus",10,0.0683413063571272,0.0249957546011297,0.00790435163742034,0.0504604206832611,0.0862221920309934
"EHVI",81,"IGD_plus",10,0.0683137088219668,0.024980536114914,0.0078995391295222,0.0504437097973135,0.0861837078466201
"EHVI",82,"IGD_plus",10,0.0673566693548836,0.0258870759119798,0.00818621218435366,0.048838170825862,0.0858751678839051
"EHVI",83,"IGD_plus",10,0.0658084266671828,0.026675771871942,0.00843561974583901,0.0467257290364911,0.0848911242978745
"EHVI",84,"IGD_plus",10,0.0611968598765769,0.0208065232787642,0.00657960037502094,0.0463127697598735,0.0760809499932802
"EHVI",85,"IGD_plus",10,0.0606232537576104,0.0205254133835727,0.00649070562085929,0.045940257545769,0.0753062499694518
"EHVI",86,"IGD_plus",10,0.0605999319284251,0.0205352537531808,0.00649381741895724,0.0459098963402272,0.075289967516623
"EHVI",87,"IGD_plus",10,0.0605997186971634,0.0205351527148387,0.00649378546782805,0.0459097553874413,0.0752896820068855
"EHVI",88,"IGD_plus",10,0.0596616141988071,0.0200851290685367,0.00635147549550322,0.0452935784123173,0.074029649985297
"EHVI",89,"IGD_plus",10,0.059645751378379,0.0200978543981034,0.00635549959804393,0.0452686124395028,0.0740228903172551
"EHVI",90,"IGD_plus",10,0.0596253075946897,0.0200701292266299,0.00634673212900643,0.0452680020486963,0.0739826131406831
"EHVI",91,"IGD_plus",10,0.0594992107057841,0.020201222668386,0.0063881875152324,0.0450481265609031,0.0739502948506652
"EHVI",92,"IGD_plus",10,0.0587052925948775,0.0198195875147171,0.0062675038831542,0.0445272137927347,0.0728833713970204
"EHVI",93,"IGD_plus",10,0.0587006778357821,0.0198284931328426,0.00627032008687904,0.0445162283382112,0.072885127333353
"EHVI",94,"IGD_plus",10,0.0582907147420676,0.0195446492583767,0.00618056077255912,0.0443093149203134,0.0722721145638218
"EHVI",95,"IGD_plus",10,0.0582907147420676,0.0195446492583767,0.00618056077255912,0.0443093149203134,0.0722721145638218
"EHVI",96,"IGD_plus",10,0.0580090127154517,0.0196156102101786,0.00620300059582187,0.0439768504867717,0.0720411749441317
"EHVI",97,"IGD_plus",10,0.0579239285012703,0.019582378082211,0.00619249167423468,0.0439155391048321,0.0719323178977086
"EHVI",98,"IGD_plus",10,0.0577789907240737,0.0198626731704358,0.00628112876380949,0.0435700903005642,0.0719878911475832
"EHVI",99,"IGD_plus",10,0.0577682846795438,0.0198563517611089,0.00627912975865997,0.0435639063198518,0.0719726630392358
"EHVI",100,"IGD_plus",10,0.0577140293947398,0.0199125550215197,0.00629690279014254,0.0434694456445749,0.0719586131449048
"EPI",1,"IGD_plus",10,0.592537483187305,0.140821879666482,0.0445317884132235,0.491799579056117,0.693275387318492
"EPI",2,"IGD_plus",10,0.318370806150171,0.144909572173787,0.0458244302829723,0.214708742954398,0.422032869345944
