"cost_scenario","seed","method","final_hypervolume","final_IGD_plus","pareto_size","minimum_cost_eur","maximum_storage_m3yr","minimum_unretained_m3"
"capture_low_JRC_40",5,"SCAL",0.640022701526467,0.0283087987671844,30,869473718.509823,813502674.443543,0
"capture_low_JRC_40",5,"EHVI",0.586631802468718,0.0563476488646628,33,867081736.922823,748083777.399606,0
"capture_low_JRC_40",5,"EPI",0.586107672799724,0.0548482956982173,14,866505658.082804,783672554.765925,0
"capture_low_JRC_40",6,"TS",0.578949937940012,0.0617472683961109,34,872491717.392672,723619608.200371,0
"capture_low_JRC_40",6,"SCAL",0.605421561477062,0.046297176225691,38,870903698.946303,772796339.167385,0
"capture_low_JRC_40",6,"EHVI",0.589047569662447,0.0575434222935371,20,868302753.603598,732815260.93984,0
"capture_low_JRC_40",6,"EPI",0.639594523180097,0.0464756332840781,18,866410254.562553,828029312.557895,0
"capture_low_JRC_40",7,"TS",0.573850357564981,0.0568849977174813,37,868418565.336289,740610689.750965,0
"capture_low_JRC_40",7,"SCAL",0.564116103419747,0.0757597926174394,43,868258364.033187,728113406.525632,0
"capture_low_JRC_40",7,"EHVI",0.619196173945967,0.0386167333377662,19,868705592.881143,785917783.908935,0
"capture_low_JRC_40",7,"EPI",0.538807352941225,0.0835064133273695,22,868019639.463024,740243951.92395,0
"capture_low_JRC_40",8,"TS",0.598355085401847,0.051814969169793,12,868229434.071388,746111428.025916,0
"capture_low_JRC_40",8,"SCAL",0.594707442809903,0.0512526533245968,34,872030121.173244,736519454.445691,0
"capture_low_JRC_40",8,"EHVI",0.656533047244414,0.0352630088261038,16,868427964.687953,761283469.248137,0
"capture_low_JRC_40",8,"EPI",0.634864801034798,0.040552619786358,10,877445933.648804,723257969.870908,0
"capture_low_JRC_40",9,"TS",0.661878872928063,0.0296364252161296,26,867588335.04729,744892268.679059,0
"capture_low_JRC_40",9,"SCAL",0.680247337787129,0.0112962804144222,30,871756612.849329,837712163.079185,0
"capture_low_JRC_40",9,"EHVI",0.669366392241028,0.0199579691848544,16,885068911.33287,841628904.809238,0
"capture_low_JRC_40",9,"EPI",0.610779057808428,0.0521756190597914,19,867014666.360803,742991659.843336,0
"capture_low_JRC_40",10,"TS",0.608696461984383,0.0435045203583454,12,869526384.028327,742223653.818252,0
"capture_low_JRC_40",10,"SCAL",0.599108519436003,0.0507206600679192,54,868331222.92757,762259289.018862,0
"capture_low_JRC_40",10,"EHVI",0.583208418177494,0.056552410589408,38,867233794.709947,742223653.818252,0
"capture_low_JRC_40",10,"EPI",0.591730253991365,0.0529270336624519,11,869526384.028327,742223653.818252,0
"capture_high_JRC_90",1,"TS",0.58084935178065,0.0630340042729551,46,1455726217.1278,686520641.993336,0
"capture_high_JRC_90",1,"SCAL",0.564951198580663,0.0683516993220564,48,1439903595.15029,752581342.547672,0
"capture_high_JRC_90",1,"EHVI",0.546198993054544,0.0716999636469693,14,1437124942.55374,708449379.008347,0
"capture_high_JRC_90",1,"EPI",0.643142852446114,0.0405320290972818,15,1438995672.40442,746156639.392763,0
"capture_high_JRC_90",2,"TS",0.5632406169979,0.064461468935245,46,1436750700.56648,710722176.985894,0
"capture_high_JRC_90",2,"SCAL",0.609649908472565,0.0458874128944785,35,1439268638.6416,781940501.422216,0
"capture_high_JRC_90",2,"EHVI",0.58465916722922,0.0597765472649137,46,1440139856.07144,745218692.654919,0
"capture_high_JRC_90",2,"EPI",0.633596670653869,0.0395242083034084,11,1440139856.07144,730113362.114074,0
"capture_high_JRC_90",3,"TS",0.574274337807927,0.0568186080025421,20,1439126748.99932,768819823.336136,0
"capture_high_JRC_90",3,"SCAL",0.630579341378084,0.0319124533921022,25,1442997071.65088,833949418.666173,0
"capture_high_JRC_90",3,"EHVI",0.627853909031785,0.0539482689670367,23,1437120085.51159,778442761.85845,0
"capture_high_JRC_90",3,"EPI",0.587924900548248,0.0568064217999543,14,1442658159.4364,723179514.294899,0
"capture_high_JRC_90",4,"TS",0.590680088510506,0.0585821433926008,27,1447683070.03558,712680498.078651,0
"capture_high_JRC_90",4,"SCAL",0.687263909579833,0.0113642944265491,18,1439640484.13022,803412879.036328,0
"capture_high_JRC_90",4,"EHVI",0.625340503821786,0.0347392622010078,29,1439351614.44945,817983513.908264,0
"capture_high_JRC_90",4,"EPI",0.614191247572563,0.045589290127295,15,1439947662.78304,718170293.177989,0
"capture_high_JRC_90",5,"TS",0.598279392071556,0.0489590976890641,14,1437401527.57661,765074456.51798,0
"capture_high_JRC_90",5,"SCAL",0.640022701526467,0.0283087987671843,30,1441495901.73997,813502674.443543,0
"capture_high_JRC_90",5,"EHVI",0.586631802468718,0.0563476488646628,33,1437530248.05626,748083777.399606,0
"capture_high_JRC_90",5,"EPI",0.586107672799724,0.0548482956982173,14,1436575169.97939,783672554.765925,0
"capture_high_JRC_90",6,"TS",0.578949937940012,0.0617472683961109,34,1446499426.20364,723619608.200371,0
"capture_high_JRC_90",6,"SCAL",0.605421561477063,0.046297176225691,38,1443866658.7794,772796339.167385,0
"capture_high_JRC_90",6,"EHVI",0.589047569662447,0.0575434222935372,20,1439554565.18491,732815260.93984,0
"capture_high_JRC_90",6,"EPI",0.639594523180097,0.0464756332840781,18,1436417000.98529,828029312.557895,0
"capture_high_JRC_90",7,"TS",0.573850357564981,0.0568849977174813,37,1439746568.84701,740610689.750965,0
"capture_high_JRC_90",7,"SCAL",0.564116103419747,0.0757597926174395,43,1439480971.94976,728113406.525632,0
"capture_high_JRC_90",7,"EHVI",0.619196173945967,0.0386167333377662,19,1440222430.30295,785917783.908935,0
"capture_high_JRC_90",7,"EPI",0.538807352941225,0.0835064133273694,22,1439085191.74133,740243951.92395,0
"capture_high_JRC_90",8,"TS",0.598355085401847,0.051814969169793,12,1439433009.11835,746111428.025916,0
"capture_high_JRC_90",8,"SCAL",0.594707442809903,0.0512526533245968,34,1445734148.2609,736519454.445691,0
"capture_high_JRC_90",8,"EHVI",0.656533047244414,0.0352630088261038,16,1439762151.98266,761283469.248137,0
"capture_high_JRC_90",8,"EPI",0.634864801034798,0.040552619786358,10,1454712995.25986,723257969.870908,0
"capture_high_JRC_90",9,"TS",0.661878872928063,0.0296364252161296,26,1438370134.42051,744892268.679059,0
"capture_high_JRC_90",9,"SCAL",0.680247337787129,0.0112962804144222,30,1445280700.2502,837712163.079185,0
"capture_high_JRC_90",9,"EHVI",0.669366392241028,0.0199579691848545,16,1467351089.84134,841628904.809238,0
"capture_high_JRC_90",9,"EPI",0.610779057808428,0.0521756190597914,19,1437419052.12449,742991659.843336,0
"capture_high_JRC_90",10,"TS",0.608696461984383,0.0435045203583454,12,1441583215.62591,742223653.818252,0
"capture_high_JRC_90",10,"SCAL",0.599108519436003,0.0507206600679192,54,1439601764.32729,762259289.018862,0
"capture_high_JRC_90",10,"EHVI",0.583208418177494,0.056552410589408,38,1437782343.86123,742223653.818252,0
"capture_high_JRC_90",10,"EPI",0.591730253991365,0.0529270336624519,11,1441583215.62591,742223653.818252,0
"transport_low_JRC_2",1,"TS",0.58084935178065,0.0630340042729551,46,1005144292.77872,686520641.993336,0
"transport_low_JRC_2",1,"SCAL",0.564951198580663,0.0683516993220564,48,994219149.03234,752581342.547672,0
"transport_low_JRC_2",1,"EHVI",0.546198993054544,0.0716999636469693,14,992300555.572822,708449379.008347,0
"transport_low_JRC_2",1,"EPI",0.643142852446114,0.0405320290972818,15,993592249.993526,746156639.392763,0
"transport_low_JRC_2",2,"TS",0.5632406169979,0.064461468935245,46,992042150.391138,710722176.985894,0
"transport_low_JRC_2",2,"SCAL",0.609649908472565,0.0458874128944785,35,993780726.681103,781940501.422216,0
"transport_low_JRC_2",2,"EHVI",0.58465916722922,0.0597765472649137,46,994382281.57314,745218692.654919,0
"transport_low_JRC_2",2,"EPI",0.633596670653869,0.0395242083034084,11,994382281.57314,730113362.114074,0
"transport_low_JRC_2",3,"TS",0.574274337807927,0.0568186080025421,20,993682755.261438,768819823.336136,0
"transport_low_JRC_2",3,"SCAL",0.630579341378084,0.0319124533921022,25,996355120.901798,833949418.666173,0
"transport_low_JRC_2",3,"EHVI",0.627853909031785,0.0539482689670367,23,992297201.900859,778442761.85845,0
"transport_low_JRC_2",3,"EPI",0.587924900548248,0.0568064217999544,14,996121110.08704,723179514.294899,0
"transport_low_JRC_2",4,"TS",0.590680088510506,0.0585821433926008,27,999590691.215044,712680498.078651,0
"transport_low_JRC_2",4,"SCAL",0.687263909579833,0.0113642944265491,18,994037477.137533,803412879.036328,0
"transport_low_JRC_2",4,"EHVI",0.625340503821786,0.0347392622010078,29,993838019.500813,817983513.908264,0
"transport_low_JRC_2",4,"EPI",0.614191247572563,0.045589290127295,15,994249576.683529,718170293.177989,0
"transport_low_JRC_2",5,"TS",0.598279392071556,0.0489590976890641,14,992491530.945757,765074456.51798,0
"transport_low_JRC_2",5,"SCAL",0.640022701526467,0.0283087987671844,30,995318598.820455,813502674.443543,0
"transport_low_JRC_2",5,"EHVI",0.586631802468719,0.0563476488646628,33,992580409.372179,748083777.399606,0
"transport_low_JRC_2",5,"EPI",0.586107672799724,0.0548482956982173,14,991920950.700052,783672554.765925,0
"transport_low_JRC_2",6,"TS",0.578949937940012,0.0617472683961109,34,998773413.331085,723619608.200371,0
"transport_low_JRC_2",6,"SCAL",0.605421561477063,0.046297176225691,38,996955550.109583,772796339.167385,0
"transport_low_JRC_2",6,"EHVI",0.589047569662447,0.0575434222935372,20,993978152.151487,732815260.93984,0
"transport_low_JRC_2",6,"EPI",0.639594523180097,0.0464756332840782,18,991811738.775554,828029312.557895,0
"transport_low_JRC_2",7,"TS",0.573850357564981,0.0568849977174812,37,994110726.108647,740610689.750965,0
"transport_low_JRC_2",7,"SCAL",0.564116103419747,0.0757597926174395,43,993927337.774832,728113406.525632,0
"transport_low_JRC_2",7,"EHVI",0.619196173945967,0.0386167333377662,19,994439297.11394,785917783.908935,0
"transport_low_JRC_2",7,"EPI",0.538807352941225,0.0835064133273694,22,993654060.964251,740243951.92395,0
"transport_low_JRC_2",8,"TS",0.598355085401847,0.051814969169793,12,993894220.58172,746111428.025916,0
"transport_low_JRC_2",8,"SCAL",0.594707442809904,0.0512526533245968,34,998245007.132529,736519454.445691,0
"transport_low_JRC_2",8,"EHVI",0.656533047244414,0.0352630088261038,16,994121485.892788,761283469.248137,0
"transport_low_JRC_2",8,"EPI",0.634864801034799,0.040552619786358,10,1004444687.20324,723257969.870908,0
